Index	Gene	PCC	KLS Degree	KSS Degree
58	GRMZM2G006117	0.478041016818	5	0
59	GRMZM2G149580	0.540601016611	3	0
60	GRMZM2G153823	0.444732340326	11	0
61	GRMZM2G128171	0.279812717053	6	0
62	GRMZM2G023242	0.587661717476	22	7
63	GRMZM2G128771	0.507982608632	4	0
64	GRMZM2G131487	0.505068728271	5	0
65	GRMZM2G103755	0.381249259082	14	0
66	GRMZM2G108677	0.233041029087	4	0
67	GRMZM2G113409	0.39663022078	3	0
68	GRMZM2G072219	0.294184285213	26	0
69	GRMZM2G147687	0.431240969031	9	0
70	GRMZM2G130332	0.510315268173	2	7
71	GRMZM5G898755	0.39771211355	8	0
72	GRMZM2G399700	0.429761401	3	0
73	GRMZM2G047867	0.578697499776	5	0
74	GRMZM2G092627	0.192534367149	7	0
75	GRMZM2G180889	0.556916196098	10	0
76	GRMZM2G035741	0.0375417108762	6	0
77	GRMZM2G176780	0.0454552419298	4	0
78	GRMZM2G063679	0.568688593942	3	0
79	GRMZM5G835677	0.105834165417	7	0
80	GRMZM2G055172	0.317790653982	23	0
81	GRMZM2G068665	0.317139840974	0	21
82	GRMZM2G382413	0.478565433167	34	2
83	GRMZM2G115574	-0.12817336986	9	0
84	GRMZM2G014276	-0.098372913478	7	2
85	AC203366.4_FG001	0.186751763968	6	0
86	GRMZM2G121137	0.423463796749	53	1
87	GRMZM2G047274	0.575775955137	8	0
88	GRMZM2G443447	0.234827310595	6	0
89	GRMZM2G148985	0.592044210204	2	19
90	GRMZM2G434533	0.335078095729	6	0
91	GRMZM2G089895	0.558411495481	28	2
92	GRMZM2G466833	0.553555372303	6	4
93	GRMZM5G822591	0.565252039954	4	0
94	GRMZM2G080524	0.446887543202	6	0
95	GRMZM2G070126	0.3020757894	8	0
96	GRMZM2G160902	0.358245069929	4	0
97	AC213099.3_FG001	0.586963503811	4	0
98	GRMZM2G114380	0.136223578842	7	1
99	GRMZM2G123411	0.530071279278	16	0
100	GRMZM2G150901	0.254344763161	4	0
101	GRMZM2G123371	0.497748973424	233	0
102	GRMZM2G048117	0.576532664245	6	0
103	AC212068.4_FG005	0.423532070908	9	0
104	GRMZM2G174396	0.506276797683	3	0
105	AC211652.4_FG002	0.484576090778	4	0
106	GRMZM2G075676	0.422016073445	0	8
107	GRMZM2G147716	0.573487744874	9	0
108	GRMZM2G131539	0.495093785953	6	0
109	GRMZM2G347583	0.377552867464	4	0
110	GRMZM2G040030	0.453585200671	0	18
111	GRMZM2G059580	0.587326882271	5	2
112	GRMZM2G426591	0.547050308209	4	0
113	GRMZM2G406170	0.37403590488	42	0
114	GRMZM2G115615	0.593914198047	3	2
115	GRMZM2G027420	0.504755833812	4	1
116	GRMZM2G138407	0.597888298683	0	12
117	GRMZM2G469898	0.257688012616	3	0
118	GRMZM2G071630	0.51327316904	8	0
119	GRMZM2G159724	0.511895337576	13	0
120	GRMZM2G112285	0.376304949229	3	0
121	GRMZM2G037094	0.593041948973	3	0
122	GRMZM2G369931	0.553811460493	0	20
123	GRMZM2G131939	0.584567617107	7	0
124	GRMZM5G898915	0.302348870295	4	0
125	GRMZM2G119689	0.586079815872	44	0
126	GRMZM2G138392	0.561578570586	42	0
127	AC207342.3_FG007	0.541858755706	3	0
128	GRMZM2G379540	0.455220385346	6	0
129	GRMZM2G064374	0.0981160893179	5	0
130	GRMZM2G153706	0.523108333559	4	0
131	GRMZM2G142779	0.578791980031	3	0
132	GRMZM2G159643	0.524040395366	6	0
133	GRMZM2G044553	0.538413218111	0	3
134	GRMZM2G147869	0.148521787759	11	0
135	GRMZM2G083689	0.560423695765	0	3
136	GRMZM2G432774	0.425395247634	6	0
137	GRMZM5G812796	0.597296804886	48	0
138	GRMZM2G473310	0.309522813296	14	0
139	GRMZM2G164440	0.554624865934	12	0
140	GRMZM2G451975	0.508262125641	8	0
141	GRMZM2G032505	0.129379459548	8	0
142	GRMZM2G367023	0.481611949595	4	0
143	GRMZM2G020438	0.259075391623	5	0
144	GRMZM2G171426	0.320611474826	3	0
145	GRMZM2G000158	0.577238155969	4	0
146	GRMZM5G850607	0.504545776192	0	5
147	GRMZM2G084587	0.493726375193	7	0
148	GRMZM2G014395	0.523175527514	3	0
149	GRMZM2G156019	0.537301444365	3	0
150	GRMZM2G169207	0.430048333512	6	0
151	GRMZM2G117030	0.593663520086	13	0
152	AC205982.3_FG014	0.404345531374	6	0
153	GRMZM2G334165	0.456495223377	9	0
154	GRMZM2G012628	0.586977673367	10	0
155	GRMZM2G075459	0.562350463329	17	0
156	GRMZM2G085295	0.23061603313	3	0
157	GRMZM2G084513	0.550691644198	3	0
158	GRMZM2G075003	0.580075424777	5	1
159	GRMZM2G154211	0.296995401938	3	0
160	GRMZM2G321420	0.195258754412	15	0
161	GRMZM2G020775	0.531169341172	5	0
162	GRMZM2G322493	0.271980035286	3	0
163	GRMZM2G073290	0.346751887926	21	1
164	GRMZM2G391413	0.115493468998	3	0
165	GRMZM2G067985	0.585238806897	0	30
166	GRMZM2G005710	0.590150343036	20	0
167	GRMZM2G081949	0.574053382434	25	0
168	GRMZM2G142315	0.467211020382	8	0
169	GRMZM2G413162	0.5352514592	3	0
170	GRMZM2G017229	0.587104891172	34	0
171	GRMZM2G075630	0.478265397576	3	0
172	GRMZM2G076204	-0.0798112088861	3	0
173	GRMZM2G336875	0.597912808925	34	0
174	GRMZM2G146278	0.555680983921	7	0
175	GRMZM2G331032	0.524484130295	6	0
176	GRMZM2G056695	0.591828758517	3	0
177	GRMZM2G126808	0.514970040348	18	0
178	GRMZM2G020943	0.583118780738	5	0
179	GRMZM2G097106	0.553361409244	0	20
180	GRMZM2G177447	0.306960438106	3	0
181	GRMZM2G327311	0.0851792950284	3	0
182	GRMZM2G448715	-0.111959239345	18	0
183	GRMZM2G179432	0.57384659698	7	0
184	GRMZM2G447551	0.542806213403	4	0
185	GRMZM2G129781	0.361967378652	3	0
186	GRMZM2G027794	0.450590643826	4	0
187	GRMZM5G801409	0.567239520636	3	13
188	GRMZM2G055621	0.496267934599	3	0
189	GRMZM5G895188	0.520498138858	0	8
190	GRMZM2G074404	0.545443426161	3	0
191	GRMZM5G884325	0.589851983898	1	3
192	GRMZM2G059117	0.487272393455	37	0
193	GRMZM2G007871	0.446860468929	3	0
194	GRMZM2G132623	0.591369435253	0	10
195	GRMZM2G081829	0.59392211562	5	0
196	GRMZM2G046011	0.538434689716	13	0
197	GRMZM2G432128	0.544737122724	3	0
198	GRMZM5G843972	0.396864169842	33	0
199	GRMZM2G440221	0.5694932827	5	0
200	GRMZM2G057247	0.117264092697	3	0
201	GRMZM2G424241	0.539969030462	0	3
202	GRMZM2G063322	0.130640671468	12	0
203	GRMZM2G169293	0.597833722309	5	0
204	GRMZM2G097502	0.529048343406	3	0
205	GRMZM2G376416	0.589993613755	51	0
206	GRMZM2G086486	0.538459312367	6	0
207	GRMZM2G055698	0.510751463186	7	0
208	GRMZM2G034083	0.55781811247	4	0
209	GRMZM2G110279	0.484192578679	3	0
210	GRMZM2G095905	0.462599357001	6	0
211	GRMZM2G138800	0.469040029799	4	0
212	GRMZM2G460078	0.599581310905	11	1
213	GRMZM2G177631	0.551283562989	4	0
214	GRMZM2G178576	0.441464218654	3	1
215	GRMZM2G143086	0.57562831692	0	10
216	GRMZM2G438938	0.179733429178	13	0
217	GRMZM2G143403	0.532823150691	13	0
218	GRMZM2G399844	0.109343353669	8	0
219	GRMZM2G113655	0.218052532233	12	0
220	GRMZM2G099657	0.263888314346	79	0
221	GRMZM2G312661	0.436106645537	6	0
222	GRMZM2G085967	0.587165813052	10	0
223	AC234201.1_FG003	0.249265615425	0	22
224	GRMZM2G390076	0.517780859075	3	0
225	GRMZM2G304108	0.433275967877	3	0
226	GRMZM2G131280	0.509399083896	7	0
227	GRMZM2G113668	0.544614703511	4	0
228	GRMZM2G342515	0.412354049449	6	0
229	GRMZM2G010836	0.30406008281	4	0
230	GRMZM2G153984	0.544703014419	11	0
231	GRMZM2G176977	0.566141648976	8	0
232	GRMZM2G406043	-0.064686969148	4	0
233	GRMZM2G102356	0.496145507838	3	0
234	GRMZM2G052178	0.577214515603	0	3
235	GRMZM2G126010	0.308474848446	12	0
236	GRMZM2G007385	0.28584326564	2	11
237	GRMZM2G066153	0.301838801587	0	6
238	GRMZM5G820996	0.433100036992	0	4
239	GRMZM2G163200	0.324439650559	3	0
240	GRMZM2G159397	0.544965391359	11	2
241	GRMZM2G175976	0.538072157735	47	0
242	GRMZM2G156476	0.479498811245	11	0
243	GRMZM2G483779	0.0943214651004	4	0
244	GRMZM2G095348	0.517226612523	0	3
245	GRMZM5G824439	0.410482248428	4	0
246	GRMZM2G107196	0.0492592132274	3	0
247	GRMZM2G082019	0.412119153272	14	0
248	GRMZM2G098331	0.427692827737	3	0
249	GRMZM2G050467	0.593218040509	7	0
250	GRMZM2G312974	0.159742314144	12	0
251	GRMZM2G137120	0.408155694632	0	4
252	GRMZM2G016097	0.594159932141	65	1
253	GRMZM2G116034	0.58152800808	0	8
254	GRMZM2G077541	0.542110232753	27	0
255	GRMZM2G164821	0.588503735369	3	0
256	GRMZM2G104843	0.572867711131	13	1
257	GRMZM2G107562	0.596462420232	7	0
258	AC197705.4_FG007	0.525756316959	4	0
259	GRMZM2G085613	0.412326734693	3	0
260	GRMZM2G402156	0.484790736549	23	0
261	AC233910.1_FG005	0.312340158482	5	1
262	GRMZM2G014069	0.520551638556	0	10
263	GRMZM2G479885	0.511914677679	9	1
264	GRMZM2G142919	0.584105261365	8	0
265	GRMZM5G825515	0.393347364388	26	0
266	GRMZM2G111818	0.443021190029	11	1
267	GRMZM2G387890	0.416228078068	5	0
268	GRMZM2G418343	0.547477818609	9	0
269	GRMZM2G070659	0.593966533035	7	0
270	GRMZM2G139675	0.526381400248	0	4
271	GRMZM2G005859	0.578650242423	4	0
272	GRMZM2G146951	0.55258023874	8	0
273	GRMZM2G113228	0.290405960811	3	0
274	GRMZM5G856738	0.233646699673	6	0
275	GRMZM2G115357	0.526382418162	3	0
276	GRMZM2G032145	0.549217226753	4	0
277	GRMZM2G376918	0.553488171639	3	0
278	GRMZM2G038677	-0.419420400963	6	0
279	GRMZM2G028132	0.359044786715	7	0
280	GRMZM2G080176	0.233112706571	3	0
281	GRMZM2G101125	0.340076967461	6	0
282	GRMZM2G412492	0.283355308986	3	0
283	GRMZM2G094705	0.408560773904	0	6
284	GRMZM2G181194	0.146355380172	9	40
285	GRMZM2G029382	-0.0142882362446	4	0
286	GRMZM2G385182	0.33054007564	6	0
287	GRMZM2G370162	0.491956033104	6	0
288	GRMZM5G815894	0.586619820405	0	17
289	GRMZM2G146994	0.575219738606	6	0
290	GRMZM2G044107	0.583181943998	19	0
291	GRMZM2G163406	0.573093678552	19	0
292	GRMZM2G029219	0.593689274376	4	0
293	GRMZM2G168629	0.552272765526	5	2
294	GRMZM2G153602	0.0787600958043	4	0
295	GRMZM2G003883	0.300288118385	4	0
296	GRMZM2G159002	0.47613668346	4	0
297	GRMZM2G071441	0.482625338708	9	1
298	GRMZM2G457309	0.414876644956	9	0
299	GRMZM2G135893	0.50635174175	4	42
300	GRMZM2G110983	0.586965213349	0	4
301	GRMZM2G057823	0.3728266882	4	0
302	GRMZM2G094444	0.556634350911	97	2
303	GRMZM2G093359	0.299059397432	7	19
304	GRMZM2G125893	0.439836375142	5	0
305	GRMZM2G153797	0.164524335514	10	0
306	GRMZM2G456471	0.411837756953	6	0
307	GRMZM2G079746	0.507515504638	9	1
308	GRMZM2G149281	0.136156794038	5	0
309	GRMZM2G010460	0.467281408483	11	0
310	GRMZM2G015989	0.553691310504	2	8
311	GRMZM2G017110	0.459397141826	20	0
312	GRMZM2G089491	0.479422771474	9	1
313	GRMZM2G420713	0.555138198937	3	0
314	GRMZM2G052435	0.571953062272	2	5
315	GRMZM2G158407	0.598516454144	57	0
316	GRMZM2G060357	0.555261560775	11	0
317	GRMZM2G008623	-0.168688521818	3	0
318	GRMZM2G044023	0.467648023014	1	22
319	GRMZM2G068255	0.179802113501	11	0
320	GRMZM5G866758	0.112459231833	4	0
321	GRMZM2G107302	0.416910719624	11	0
322	GRMZM2G101282	0.430192234283	5	0
323	GRMZM2G102475	-0.272952951108	12	3
324	GRMZM2G071808	0.355406059029	14	0
325	GRMZM2G004908	0.219401791224	11	0
326	GRMZM2G027995	0.479622829869	5	2
327	GRMZM2G152925	0.569217644806	13	48
328	GRMZM2G078174	0.494401295976	3	0
329	GRMZM2G047699	0.369844023901	4	0
330	GRMZM2G431350	0.286965369073	38	0
331	GRMZM2G168330	0.569245074438	4	19
332	GRMZM5G839794	0.504826129381	3	0
333	GRMZM2G331088	0.582496822983	4	0
334	GRMZM2G155348	0.587859403531	3	0
335	GRMZM2G143008	0.445249535906	4	0
336	GRMZM2G084891	0.433018167402	3	0
337	AC215244.3_FG002	0.369629034066	3	2
338	GRMZM5G860590	0.303813352037	15	0
339	GRMZM2G032314	0.514604973191	3	0
340	GRMZM2G027723	0.530976507434	5	1
341	GRMZM5G800734	0.202853972252	3	0
342	GRMZM2G091595	-0.272019642118	10	0
343	GRMZM2G053588	0.24399460772	4	0
344	GRMZM2G070259	0.545243292323	0	6
345	GRMZM2G439201	0.510779058203	2	5
346	GRMZM2G090904	0.407379280368	4	0
347	GRMZM2G476810	0.20044868046	14	0
348	GRMZM2G175101	0.477893267396	19	0
349	GRMZM2G048377	0.232517491945	6	0
350	GRMZM2G131943	0.567577309948	1	13
351	GRMZM2G043932	0.449747986004	7	0
352	GRMZM2G142664	0.512513957729	3	0
353	GRMZM2G079956	0.598682899362	4	0
354	GRMZM2G137176	0.0581842777406	7	0
355	GRMZM2G113250	-0.258065748022	0	18
356	GRMZM2G128865	0.249168764428	3	0
357	GRMZM2G389768	0.512187880669	4	0
358	GRMZM2G445634	0.508619253881	5	0
359	GRMZM2G093789	0.0924987200487	3	0
360	GRMZM2G094390	0.517729868664	3	0
361	GRMZM2G053781	0.550022223309	5	0
362	GRMZM2G119079	0.191303445247	8	0
363	GRMZM2G127117	0.500105172404	20	0
364	GRMZM2G085678	0.577175719041	7	0
365	GRMZM2G044947	0.449060378202	7	0
366	GRMZM2G073465	0.596053788152	3	0
367	GRMZM2G087150	0.537101626271	12	0
368	GRMZM2G081585	0.125918779589	7	0
369	GRMZM2G008403	0.505083377591	29	0
370	GRMZM2G091155	0.479947623522	3	0
371	GRMZM2G136143	0.398803247152	3	0
372	AC234160.1_FG001	0.325681174089	11	0
373	GRMZM2G048371	0.227167739771	2	4
374	GRMZM2G064366	0.538081436916	9	0
375	GRMZM2G335618	0.279775034815	4	0
376	GRMZM2G084727	0.551281433705	31	0
377	GRMZM2G042371	0.56281825999	0	23
378	GRMZM2G700148	0.0133104191705	12	0
379	GRMZM2G416142	0.175753542187	4	0
380	GRMZM2G376731	0.595784942891	3	0
381	GRMZM2G400173	0.532733201942	26	0
382	GRMZM2G108057	0.281788963336	7	0
383	GRMZM2G105996	0.575943809235	0	8
384	GRMZM2G014116	0.458089449908	0	5
385	GRMZM2G056393	0.495179225055	4	0
386	GRMZM2G700926	0.596090905	1	9
387	GRMZM2G084938	0.501063931092	7	0
388	GRMZM2G066222	0.456414733655	0	3
389	GRMZM2G082836	0.511182849551	4	0
390	GRMZM2G076524	0.540043603479	7	2
391	AC182617.3_FG001	0.478660961092	3	0
392	GRMZM2G349554	0.106050927661	13	0
393	GRMZM2G061537	0.589765173264	8	0
394	GRMZM2G093826	0.392810577416	5	0
395	GRMZM2G082785	0.186712558858	21	0
396	GRMZM2G142266	0.472849896884	0	3
397	GRMZM2G379913	0.168319516994	13	0
398	GRMZM2G016447	0.159233408672	9	0
399	GRMZM2G101020	0.590748959631	2	9
400	GRMZM2G056702	0.372665123571	6	0
401	GRMZM2G420801	0.599283258943	4	0
402	GRMZM2G058498	0.475797787714	10	0
403	GRMZM5G828630	0.0393234508798	5	0
404	GRMZM2G125149	0.569678247077	4	0
405	GRMZM2G331533	0.225143676635	5	0
406	AC217887.3_FG005	0.488653727486	0	3
407	GRMZM2G168119	0.0803918088997	21	5
408	GRMZM2G438602	0.191533024398	3	0
409	GRMZM5G835794	0.40336946419	7	0
410	AC216353.2_FG005	0.577509233332	8	0
411	GRMZM2G165208	0.539977508802	7	0
412	GRMZM2G464782	0.396046366752	18	40
413	GRMZM2G158400	0.501251469641	48	0
414	GRMZM2G132162	0.510335820872	47	0
415	GRMZM2G096370	0.560068060767	3	0
416	GRMZM2G128832	0.333438462653	47	0
417	GRMZM2G412150	0.255216549204	5	0
418	GRMZM2G072406	0.508507796751	32	1
419	GRMZM2G173910	0.525730824943	3	0
420	GRMZM2G134334	0.589701395328	8	0
421	GRMZM5G844562	0.559160463952	9	0
422	GRMZM2G175549	0.19768691831	8	0
423	GRMZM2G398527	0.471795645346	3	1
424	GRMZM2G084325	0.571435668938	18	0
425	GRMZM2G012284	0.525670524518	5	0
426	GRMZM2G435338	0.501277126937	6	0
427	GRMZM2G070378	-0.0456569379326	7	0
428	GRMZM2G358311	0.436012046176	0	3
429	GRMZM2G106574	0.358338968656	4	0
