Index	Gene	PCC	KLS Degree	KSS Degree
0	GRMZM2G143780	0.239273693316	9	0
1	GRMZM2G433591	0.58617481382	4	0
2	GRMZM2G015238	0.251953003005	8	1
3	GRMZM2G537291	0.531757310207	0	14
4	GRMZM2G069177	0.3035319465	4	0
5	GRMZM2G344279	0.0311395690569	13	0
6	GRMZM2G074792	0.506954340206	15	0
7	GRMZM2G103937	0.533411271661	11	0
8	GRMZM2G382914	0.00144098769005	6	0
9	GRMZM2G004382	0.194484770787	0	30
10	GRMZM2G050701	0.270560767204	6	0
11	GRMZM2G094051	0.569650271437	3	0
12	GRMZM2G105184	0.17608347725	4	0
13	GRMZM2G062552	0.463251498387	3	0
14	GRMZM2G477879	0.103184360771	11	0
15	GRMZM2G071871	0.408335776148	3	0
16	GRMZM2G059106	0.514206162194	3	0
17	GRMZM2G154278	0.0149032475265	17	1
18	GRMZM2G050412	0.540904627948	18	0
19	GRMZM2G130889	0.577658693774	3	0
20	GRMZM2G114356	0.523156510552	8	0
21	GRMZM2G338702	0.507250400302	2	4
22	GRMZM2G075513	0.52060578871	8	0
23	GRMZM2G095326	0.480577357173	4	0
24	GRMZM2G001327	0.511891759742	0	15
25	GRMZM2G009326	0.590864556772	3	0
26	GRMZM2G177937	0.485096018366	6	0
27	GRMZM2G386276	0.591045442542	6	0
28	GRMZM2G090980	0.436701716669	6	0
29	GRMZM2G134020	0.165042106632	3	0
30	GRMZM2G356142	0.315545139226	3	0
31	GRMZM2G033027	0.0735680805899	3	0
32	GRMZM2G028313	0.554752610434	11	1
33	GRMZM2G087413	0.17919476527	12	0
34	GRMZM2G005456	0.598720934443	7	0
35	GRMZM5G825854	0.459315068832	3	0
36	GRMZM2G127404	0.416736407883	3	0
37	GRMZM5G843474	0.589749249183	4	0
38	GRMZM2G107299	0.488221951064	4	0
39	GRMZM2G176307	0.422879032647	3	0
40	GRMZM2G000393	0.564562982045	11	0
41	GRMZM2G048353	0.400709407698	3	0
42	GRMZM2G076730	0.520716622958	4	0
43	GRMZM2G179732	0.34973208934	3	0
44	GRMZM2G157836	0.390898425834	3	0
45	GRMZM2G139805	-0.0280861063573	16	12
46	GRMZM2G040587	0.572886092068	3	0
47	GRMZM2G462140	0.546868717528	4	0
48	GRMZM2G129585	0.538636942955	6	0
49	GRMZM2G029396	0.416512390043	2	32
50	GRMZM2G156027	0.575674018992	3	1
51	GRMZM5G872373	0.577658676587	6	0
52	GRMZM2G157310	0.58970092259	4	4
53	GRMZM2G028955	0.522082044288	8	0
54	GRMZM2G097226	0.575024860835	3	1
55	GRMZM2G147014	0.585104779625	6	0
56	GRMZM2G110378	0.400688289742	7	3
57	GRMZM2G123585	0.34530151467	9	0
