0	GRMZM2G439950	9
1	GRMZM2G085967	10
2	GRMZM2G133749	4
3	GRMZM2G150754	3
4	GRMZM2G123371	233
5	GRMZM2G327564	27
6	GRMZM2G306741	71
7	GRMZM2G468756	7
8	GRMZM2G110304	24
9	GRMZM2G123234	3
10	GRMZM2G045185	174
11	GRMZM2G421604	11
12	GRMZM2G375762	37
13	GRMZM2G096153	6
14	GRMZM2G142640	10
15	GRMZM2G408768	109
16	GRMZM2G177853	2
17	GRMZM2G125424	171
18	GRMZM2G177165	168
19	GRMZM2G368041	1
20	GRMZM5G889644	232
21	GRMZM2G174675	15
22	GRMZM2G445100	94
23	GRMZM2G407044	21
24	GRMZM2G134797	58
25	GRMZM2G180458	2
26	GRMZM2G027056	160
27	GRMZM2G079231	19
28	GRMZM2G038821	1
29	GRMZM2G702059	29
30	GRMZM2G172043	155
31	GRMZM2G089351	174
32	GRMZM2G105531	127
33	GRMZM2G067707	7
34	GRMZM5G892758	4
35	GRMZM2G174797	5
36	GRMZM2G132568	2
37	GRMZM2G154595	21
38	GRMZM2G093858	2
39	GRMZM2G146677	20
40	GRMZM2G011068	3
41	GRMZM2G464782	18
42	GRMZM2G002959	1
43	GRMZM2G103281	2
44	GRMZM2G149108	8
45	GRMZM2G084767	8
46	GRMZM2G086497	43
47	GRMZM5G840928	29
48	GRMZM2G426156	106
49	GRMZM2G125271	10
50	GRMZM5G837626	25
51	GRMZM2G059353	13
52	GRMZM5G816110	1
53	GRMZM2G119485	1
54	GRMZM2G124883	17
55	GRMZM2G068566	1
56	GRMZM2G147869	11
57	GRMZM2G032348	2
58	GRMZM2G003424	237
59	GRMZM2G140994	1
60	GRMZM5G833563	1
61	GRMZM2G058900	1
62	GRMZM2G704021	3
63	GRMZM2G319465	17
64	GRMZM2G044027	43
65	GRMZM2G313448	119
66	GRMZM2G103672	1
67	GRMZM2G069911	10
68	GRMZM2G173747	44
69	GRMZM2G149335	1
70	GRMZM2G106133	18
71	GRMZM2G102404	7
72	GRMZM2G044625	4
73	GRMZM2G077991	97
74	GRMZM2G068323	1
75	GRMZM2G069061	15
76	GRMZM5G824629	1
77	GRMZM2G020040	7
78	GRMZM2G027392	14
79	GRMZM2G177878	7
80	AC202915.3_FG002	1
81	GRMZM5G886989	1
82	GRMZM2G116282	118
83	GRMZM2G123815	249
84	GRMZM2G151193	26
85	GRMZM5G833389	1
86	GRMZM2G111411	45
87	GRMZM2G079112	47
88	GRMZM2G115817	4
89	GRMZM2G133716	26
90	GRMZM2G144581	142
91	GRMZM5G881803	6
92	GRMZM2G050329	175
93	GRMZM2G372928	1
94	GRMZM2G003897	82
95	GRMZM2G072729	51
96	GRMZM2G079944	299
97	GRMZM5G862219	27
98	GRMZM2G026391	62
99	GRMZM2G131448	34
100	GRMZM5G800734	3
101	GRMZM2G033489	24
102	GRMZM2G058138	15
103	GRMZM2G141647	12
104	GRMZM2G166684	235
105	GRMZM2G399313	1
106	GRMZM2G159854	3
107	GRMZM2G018189	23
108	GRMZM2G399858	8
109	GRMZM2G070305	56
110	GRMZM2G058528	3
111	GRMZM2G169020	1
112	GRMZM2G171387	82
113	GRMZM2G355342	1
114	GRMZM2G078022	169
115	GRMZM2G159724	13
116	GRMZM2G007300	2
117	GRMZM2G178807	154
118	GRMZM2G377487	1
119	GRMZM2G038848	11
120	GRMZM2G104955	2
121	GRMZM2G020548	1
122	GRMZM2G131525	25
123	GRMZM2G392798	271
124	GRMZM2G327311	3
125	AC197246.3_FG001	198
126	GRMZM2G077356	19
127	GRMZM2G110929	12
128	GRMZM2G084719	1
129	GRMZM2G128319	231
130	GRMZM2G113202	52
131	GRMZM2G054634	57
132	GRMZM2G308106	2
133	GRMZM2G108032	109
134	GRMZM2G009144	1
135	GRMZM2G018955	38
136	GRMZM2G409430	89
137	GRMZM5G882228	51
138	GRMZM2G043350	151
139	GRMZM2G121724	211
140	GRMZM2G095302	260
141	GRMZM2G108457	70
142	GRMZM2G121942	273
143	GRMZM2G048194	12
144	AC187157.4_FG002	81
145	GRMZM2G090849	2
146	GRMZM2G347402	7
147	GRMZM2G044388	1
148	GRMZM2G003306	50
149	GRMZM2G124911	1
150	GRMZM2G133398	138
151	GRMZM2G321767	2
152	GRMZM2G030839	8
153	GRMZM2G149265	1
154	GRMZM2G080524	6
155	GRMZM2G419836	1
156	GRMZM2G334899	88
157	GRMZM2G081504	3
158	GRMZM2G019586	5
159	GRMZM5G857379	19
160	GRMZM2G070399	42
161	GRMZM2G073912	3
162	GRMZM2G121063	2
163	GRMZM2G112238	2
164	GRMZM2G115825	167
165	GRMZM2G030241	10
166	GRMZM2G044060	1
167	GRMZM2G022383	19
168	GRMZM2G081782	2
169	GRMZM5G872997	68
170	GRMZM2G012319	2
171	GRMZM2G033805	131
172	GRMZM2G089713	20
173	GRMZM2G134759	58
174	GRMZM2G171383	61
175	GRMZM2G042627	1
176	GRMZM2G324285	21
177	GRMZM2G017164	1
178	GRMZM2G503990	1
179	GRMZM2G014300	204
180	GRMZM2G027571	59
181	GRMZM2G181251	18
182	GRMZM2G080917	166
183	GRMZM5G846152	11
184	GRMZM2G124638	233
185	GRMZM2G060943	138
186	GRMZM2G033348	1
187	GRMZM2G110509	12
188	GRMZM2G133394	114
189	GRMZM2G146020	10
190	GRMZM2G019500	11
191	GRMZM2G340527	382
192	GRMZM2G440831	36
193	GRMZM5G802881	57
194	GRMZM5G893444	30
195	GRMZM2G452523	107
196	GRMZM2G133838	8
197	GRMZM2G140970	25
198	GRMZM2G019225	266
199	GRMZM2G034638	167
200	GRMZM2G383807	91
201	GRMZM2G049322	198
202	GRMZM2G147701	28
203	GRMZM2G045303	1
204	GRMZM2G035928	1
205	GRMZM2G446313	196
206	GRMZM2G134020	3
207	GRMZM2G015401	3
208	GRMZM2G403149	35
209	GRMZM2G023836	7
210	GRMZM2G020429	217
211	GRMZM2G155123	1
212	GRMZM5G887647	5
213	GRMZM2G106412	17
214	GRMZM2G047274	8
215	GRMZM2G079746	9
216	GRMZM2G155437	55
217	GRMZM2G115456	1
218	GRMZM2G139041	1
219	GRMZM2G040389	194
220	GRMZM2G015571	21
221	GRMZM2G019266	106
222	GRMZM2G104501	1
223	GRMZM2G163998	1
224	GRMZM2G157127	2
225	GRMZM2G141636	27
226	GRMZM2G018436	3
227	GRMZM2G114739	4
228	GRMZM5G883043	125
229	GRMZM2G099036	2
230	GRMZM2G331088	4
231	GRMZM2G119759	207
232	GRMZM2G010054	1
233	GRMZM2G034575	1
234	GRMZM2G143443	99
235	GRMZM2G034503	80
236	GRMZM2G126988	1
237	GRMZM2G126055	28
238	GRMZM2G172930	1
239	GRMZM2G304548	1
240	GRMZM2G005036	7
241	GRMZM2G171181	8
242	GRMZM2G336909	86
243	GRMZM2G155096	32
244	GRMZM2G047971	23
245	GRMZM2G151237	39
246	GRMZM2G015886	311
247	GRMZM2G332838	23
248	GRMZM2G034833	108
249	GRMZM2G059039	2
250	GRMZM2G326677	1
251	GRMZM2G144857	29
252	GRMZM2G007680	5
253	GRMZM2G141208	47
254	GRMZM2G473367	1
255	GRMZM2G164314	38
256	GRMZM5G803433	135
257	GRMZM2G000371	11
258	GRMZM2G129007	5
259	GRMZM2G080722	8
260	GRMZM2G047055	128
261	GRMZM2G033641	10
262	GRMZM2G041065	50
263	GRMZM2G149535	26
264	GRMZM2G064993	216
265	GRMZM2G086906	54
266	GRMZM5G805526	30
267	GRMZM2G041381	3
268	GRMZM2G371606	7
269	GRMZM2G132032	7
270	GRMZM2G128432	143
271	GRMZM2G075488	57
272	AC235543.1_FG002	90
273	GRMZM2G117776	3
274	GRMZM2G150656	1
275	GRMZM2G133382	20
276	GRMZM2G031981	1
277	GRMZM2G150212	33
278	GRMZM2G118205	64
279	GRMZM2G166994	7
280	GRMZM2G472651	19
281	GRMZM2G000481	8
282	GRMZM2G324705	114
283	GRMZM2G002559	206
284	GRMZM2G378580	156
285	GRMZM5G878379	1
286	GRMZM2G013461	3
287	GRMZM2G091819	12
288	AC197578.4_FG001	14
289	GRMZM2G040887	1
290	GRMZM2G028900	7
291	GRMZM2G053299	1
292	GRMZM5G816042	2
293	GRMZM5G831313	1
294	GRMZM2G143238	3
295	GRMZM2G145662	100
296	GRMZM2G324314	14
297	GRMZM2G105712	21
298	AC149475.2_FG005	9
299	GRMZM2G048800	77
300	GRMZM2G348921	8
301	GRMZM2G049055	3
302	GRMZM2G339736	2
303	GRMZM2G376727	4
304	GRMZM2G152827	22
305	GRMZM2G104876	3
306	GRMZM2G073788	10
307	GRMZM2G142918	50
308	GRMZM2G387890	5
309	GRMZM2G026216	125
310	GRMZM2G103526	13
311	GRMZM2G124530	179
312	GRMZM2G134107	18
313	GRMZM2G124718	24
314	GRMZM2G341959	133
315	GRMZM2G043464	5
316	GRMZM2G081037	83
317	GRMZM2G022019	181
318	GRMZM2G044198	216
